Dataset,Model,Epoch,Train Accuracy,Val Accuracy,Train Loss,Val Loss,Layer,Activation Ratio,Neuron Count,Active Count
FashionMNIST,784=>512=>256=>128=>64=>10,1,0.7972166666666667,0.8492,0.5506952768449844,0.4278129849843918,1,0.4346,512,222.52
FashionMNIST,784=>512=>256=>128=>64=>10,1,0.7972166666666667,0.8492,0.5506952768449844,0.4278129849843918,2,0.4538,256,116.18
FashionMNIST,784=>512=>256=>128=>64=>10,1,0.7972166666666667,0.8492,0.5506952768449844,0.4278129849843918,3,0.5678,128,72.68
FashionMNIST,784=>512=>256=>128=>64=>10,1,0.7972166666666667,0.8492,0.5506952768449844,0.4278129849843918,4,0.5702,64,36.49
FashionMNIST,784=>512=>256=>128=>64=>10,1,0.7972166666666667,0.8492,0.5506952768449844,0.4278129849843918,5,0.4249,10,4.25
FashionMNIST,784=>512=>256=>128=>64=>10,2,0.8608666666666667,0.8632,0.37885462889856875,0.3859021503264737,1,0.2669,512,136.64
FashionMNIST,784=>512=>256=>128=>64=>10,2,0.8608666666666667,0.8632,0.37885462889856875,0.3859021503264737,2,0.3652,256,93.48
FashionMNIST,784=>512=>256=>128=>64=>10,2,0.8608666666666667,0.8632,0.37885462889856875,0.3859021503264737,3,0.5006,128,64.07
FashionMNIST,784=>512=>256=>128=>64=>10,2,0.8608666666666667,0.8632,0.37885462889856875,0.3859021503264737,4,0.535,64,34.24
FashionMNIST,784=>512=>256=>128=>64=>10,2,0.8608666666666667,0.8632,0.37885462889856875,0.3859021503264737,5,0.3175,10,3.18
FashionMNIST,784=>512=>256=>128=>64=>10,3,0.8760833333333333,0.871,0.3364152993236396,0.36637606077892765,1,0.2089,512,106.96
FashionMNIST,784=>512=>256=>128=>64=>10,3,0.8760833333333333,0.871,0.3364152993236396,0.36637606077892765,2,0.3229,256,82.65
FashionMNIST,784=>512=>256=>128=>64=>10,3,0.8760833333333333,0.871,0.3364152993236396,0.36637606077892765,3,0.4514,128,57.78
